IDLigne,Date,IDCommande,Produit,Categorie,Quantite,Prix,Montant,Region,Client
7254ba1421bac35de5d5da660715bf0e-L1,2016-10-07 22:46:51,7254ba1421bac35de5d5da660715bf0e,SKU-05fca08b4d,Computers Accessories,1,161.55,161.55,Sergipe,958df1746c3131f9c7359ae5fb848497
6335afd8e6b7eb0ebc8bb71ea0008f6f-L1,2016-10-08 02:18:43,6335afd8e6b7eb0ebc8bb71ea0008f6f,SKU-cac8035fdb,Consoles Games,1,949.99,949.99,Sao Paulo,0636d30c77f0f9cfad81f1c9b58c791f
b157079a62d77688a0f66043aa1f0306-L1,2016-10-08 15:42:14,b157079a62d77688a0f66043aa1f0306,SKU-6c0163ecd7,Computers Accessories,1,119.9,119.9,Minas Gerais,cb77bc826e0061d5f6e1702be7b87370
fb5114c39f632a52598cf770c6076620-L1,2016-10-08 20:02:32,fb5114c39f632a52598cf770c6076620,SKU-269e87010f,Computers Accessories,1,35.0,35.0,Distrito Federal,1d6bf991d51a595e57cf95d8bc861a15
04bc36cd51141e11c2cbbd188b6e47ca-L1,2016-10-08 20:28:48,04bc36cd51141e11c2cbbd188b6e47ca,SKU-0fc6914383,Computers Accessories,1,43.89,43.89,Sao Paulo,604f317cbd59b4de7b91326f61626d90
90bd4466c2905d7b5b56370149e62bcc-L1,2016-10-09 11:33:12,90bd4466c2905d7b5b56370149e62bcc,SKU-269e87010f,Computers Accessories,1,35.0,35.0,Rio Grande do Sul,1881f0742867dc75d6e0bcc24f866710
d2266b035a47467c40d174c6f55cf4dd-L1,2016-10-10 04:31:17,d2266b035a47467c40d174c6f55cf4dd,SKU-c42500bc89,Telephony,1,19.9,19.9,Minas Gerais,1fe76010d06f4c73ed78f3a7d469d93e
d263c89354a73314488491185858af42-L1,2016-10-10 04:49:29,d263c89354a73314488491185858af42,SKU-92ee7c820f,Audio,1,24.99,24.99,Sao Paulo,33faaac58c27088e3a8a8afd6058a6de
6460e331ee8f69c01f1423cca48d9991-L1,2016-10-10 11:17:11,6460e331ee8f69c01f1423cca48d9991,SKU-6b2c1aa842,Fixed Telephony,1,6.0,6.0,Rio de Janeiro,27ede105a6042b71a261bf57f75fdcf8
b88cd65e1d90bf6e185bf9b6f0b614cd-L1,2016-10-10 12:54:46,b88cd65e1d90bf6e185bf9b6f0b614cd,SKU-57e5c70337,Telephony,1,29.9,29.9,Sao Paulo,7965955995b477fd7c304f4caf2c6d26
3e9334d33c1e64167920675211fb1aee-L1,2016-10-10 14:20:38,3e9334d33c1e64167920675211fb1aee,SKU-c57d1d5664,Consoles Games,1,49.0,49.0,Rio de Janeiro,6b8adddd6900dade3fc39d42df662316
09dd83f72b2516179cd46b81121fad23-L1,2016-10-10 16:55:10,09dd83f72b2516179cd46b81121fad23,SKU-6d2928252a,Consoles Games,1,58.0,58.0,Sergipe,3ed4404759ed8860749e78c75e683180
48c43415ea1c4af9afa92542183b6e55-L1,2016-10-10 17:49:21,48c43415ea1c4af9afa92542183b6e55,SKU-5cca824e6a,Computers Accessories,1,19.0,19.0,Rio de Janeiro,9783afad41afa667522bf03656c516f3
e6db6e9529fecbe14cd05dd349816656-L1,2017-01-06 21:27:49,e6db6e9529fecbe14cd05dd349816656,SKU-06ead9c0b0,Consoles Games,1,109.9,109.9,Minas Gerais,c9517b423493063fa4e805acf2cc4564
bf44408de1d05eef70fb026ba64a90ea-L1,2017-01-06 21:30:38,bf44408de1d05eef70fb026ba64a90ea,SKU-1a2d84c11f,Fixed Telephony,1,10.49,10.49,Sao Paulo,7122b4f327033b35961170342401066c
f53b39c6c91ce86717c15d8e4e5da0c2-L1,2017-01-08 09:35:07,f53b39c6c91ce86717c15d8e4e5da0c2,SKU-913580fde3,Fixed Telephony,1,10.99,10.99,Rio de Janeiro,fc00da40808e113053d8a26c3e854ccf
8b94c85a97b61f51a419a57e451d4e3a-L1,2017-01-11 12:49:53,8b94c85a97b61f51a419a57e451d4e3a,SKU-913580fde3,Fixed Telephony,1,10.99,10.99,Rio Grande do Sul,59299ea0e75eec7b97507e1dc6ac13d1
4d9aeb0219e736ad9dd72af9f25b3f88-L1,2017-01-12 00:06:12,4d9aeb0219e736ad9dd72af9f25b3f88,SKU-9fa0c72476,Computers Accessories,1,39.9,39.9,Parana,7f11d8cba2b0b40ef25915bf8e0c48c0
3c116d50bb76160ee1d7a2e8f5791427-L1,2017-01-12 18:30:07,3c116d50bb76160ee1d7a2e8f5791427,SKU-9fa0c72476,Computers Accessories,1,39.9,39.9,Sao Paulo,c39b2706a13ca378504fe314e7f2f645
6f748695717d537b882406da58acefec-L1,2017-01-12 20:28:10,6f748695717d537b882406da58acefec,SKU-05fca08b4d,Computers Accessories,2,161.55,323.1,Goias,ff8b95898b5d2ce400ce59b28c40bfbc
22c2b8497506479028918303045751dd-L1,2017-01-12 22:24:48,22c2b8497506479028918303045751dd,SKU-fe79765327,Telephony,1,10.49,10.49,Sao Paulo,6ce2c010b9675d72eb43d7d311d9423a
c8ea1ac95f4f994f94fb57e99dcca985-L1,2017-01-14 01:16:14,c8ea1ac95f4f994f94fb57e99dcca985,SKU-389d38a555,Fixed Telephony,1,34.9,34.9,Sao Paulo,6b5c621e7785587af556b3750d9e075f
6248b0a9b547366913fb67922a7a2b77-L1,2017-01-14 15:11:28,6248b0a9b547366913fb67922a7a2b77,SKU-06ead9c0b0,Consoles Games,1,109.9,109.9,Rio de Janeiro,dce5a2ec04713ca71d7fd432f45b70cc
05cd156f0f47579a36d7a52724fc31b8-L1,2017-01-14 18:27:28,05cd156f0f47579a36d7a52724fc31b8,SKU-913580fde3,Fixed Telephony,1,10.99,10.99,Minas Gerais,40a0d0ab497152d487c6f59a27830c98
ef445757c25db3525a25a2b9641ef288-L1,2017-01-14 22:17:49,ef445757c25db3525a25a2b9641ef288,SKU-389d38a555,Fixed Telephony,1,34.9,34.9,Goias,861ed4dff1719a5dec6ce78b1132f2de
22266e2f8d8084cd2b5d8488164d043a-L1,2017-01-15 00:01:45,22266e2f8d8084cd2b5d8488164d043a,SKU-fe79765327,Telephony,2,10.49,20.98,Minas Gerais,572d41d4bcd3c9cefce4aca490ea0343
ff42eee9423ebc7d468a3709e1cbefb7-L1,2017-01-16 09:56:45,ff42eee9423ebc7d468a3709e1cbefb7,SKU-f07ef9dd6e,Fixed Telephony,1,137.99,137.99,Sao Paulo,2cd2f63f783343de79fd5a430c8b6d43
62260701eb6b51252ed47c4967b1a48d-L1,2017-01-16 13:21:19,62260701eb6b51252ed47c4967b1a48d,SKU-913580fde3,Fixed Telephony,1,10.99,10.99,Sao Paulo,f6e2c0cdc5cd3baaf61274104bc4e69a
46f05e5ae3a2b822e2f4148d99f69ca4-L1,2017-01-16 19:24:49,46f05e5ae3a2b822e2f4148d99f69ca4,SKU-b4f9530c93,Fixed Telephony,2,45.0,90.0,Goias,6844cfbae485da8c9ac6d7dd38e1d3e3
77c75c0f9b0b1c5417b62c696c4734e5-L1,2017-01-16 23:03:40,77c75c0f9b0b1c5417b62c696c4734e5,SKU-a5f6ba3fe9,Electronics,1,39.0,39.0,Rio Grande do Sul,ae81c8b1f631eb3108924289a3333c0b
d2e9aead95751dd6bd0ce80e7d506c53-L1,2017-01-16 23:25:16,d2e9aead95751dd6bd0ce80e7d506c53,SKU-77b433708d,Telephony,1,14.97,14.97,Minas Gerais,975c66693ec7ce66a1a5044685f9996c
eb87432d1b32d99db89d573d77767a01-L1,2017-01-17 09:15:55,eb87432d1b32d99db89d573d77767a01,SKU-a5f6ba3fe9,Electronics,1,39.0,39.0,Sao Paulo,9960a7aea9bd658ee554b4c580beb37f
f9427374480e37251d5c279ebc41a3ab-L1,2017-01-17 14:57:45,f9427374480e37251d5c279ebc41a3ab,SKU-913580fde3,Fixed Telephony,2,10.99,21.98,Sao Paulo,71f9d647cd3876fd59aa40c74c81e972
74b9c5a1b6f7632750a25db4de597512-L1,2017-01-17 16:25:29,74b9c5a1b6f7632750a25db4de597512,SKU-f7b6ca5735,Electronics,1,38.9,38.9,Rio de Janeiro,911a7d4fed122180dfff1453bf5a5094
8c482c28bfcadc891bc37e13dc7ace34-L1,2017-01-17 18:42:36,8c482c28bfcadc891bc37e13dc7ace34,SKU-f7b6ca5735,Electronics,1,38.9,38.9,Sao Paulo,cc93f0fd2d5903386827b0dd3de6fc42
d9a08faa201940dd3302f06944b5c739-L1,2017-01-17 18:57:58,d9a08faa201940dd3302f06944b5c739,SKU-f7b6ca5735,Electronics,1,38.9,38.9,Sao Paulo,29607e7e09b983abf0027c079c05efb6
f6b63a36cd2dd4fd184e6da3f911a4de-L1,2017-01-18 15:31:13,f6b63a36cd2dd4fd184e6da3f911a4de,SKU-95c40b993a,Computers Accessories,1,20.9,20.9,Espirito Santo,45c09dd7c031515e6a0ceac3d0fd160c
90d2bbc31356e711e2fe7b0b78181687-L1,2017-01-18 16:48:00,90d2bbc31356e711e2fe7b0b78181687,SKU-a1bf559ac1,Computers Accessories,1,19.9,19.9,Minas Gerais,173cc731309ecc2b6c8a3ea70a715508
5a37429384be05ca14780e4989543688-L1,2017-01-18 17:42:22,5a37429384be05ca14780e4989543688,SKU-a5f6ba3fe9,Electronics,1,60.0,60.0,Rio de Janeiro,f6fe57d378dab85208a1fdd0172548e0
3a6cac3e6717e6a7ee4cb28aaa149a91-L1,2017-01-18 20:14:17,3a6cac3e6717e6a7ee4cb28aaa149a91,SKU-99b89f140f,Computers Accessories,1,199.9,199.9,Minas Gerais,960c60e7ac1870b12902f5685d7cce08
fcda3cc8210e746326864eb933641ccf-L1,2017-01-18 22:41:55,fcda3cc8210e746326864eb933641ccf,SKU-913580fde3,Fixed Telephony,1,10.99,10.99,Rio Grande do Sul,78e1fdf5955b14b03809a8a8accec102
facac214a771c262175219d6c5a3a439-L1,2017-01-19 00:08:11,facac214a771c262175219d6c5a3a439,SKU-913580fde3,Fixed Telephony,1,10.99,10.99,Rio de Janeiro,d4024fd404e29943c763f316e1383cb4
5d6e9993ecc20a59e637ce711858d081-L1,2017-01-19 11:26:57,5d6e9993ecc20a59e637ce711858d081,SKU-3c2f792f10,Electronics,1,29.5,29.5,Parana,da5bbfd583efb762f6fda762f1aaf4a9
e04d9eacedc0dca9d83c14fcb0d7276c-L1,2017-01-19 14:04:48,e04d9eacedc0dca9d83c14fcb0d7276c,SKU-68bec1af38,Computers Accessories,1,84.9,84.9,Sao Paulo,6fd85726716a6e806049c1972b4e888e
0571cdb407bf04b419c94ffd7acbd874-L1,2017-01-19 21:24:05,0571cdb407bf04b419c94ffd7acbd874,SKU-91b08d34d0,Telephony,1,6.9,6.9,Distrito Federal,f171039a67a78b3d57475168802da70a
897702f9f3fe72f18863ffc09e7ddef3-L1,2017-01-20 12:04:03,897702f9f3fe72f18863ffc09e7ddef3,SKU-a767d41b71,Electronics,1,249.9,249.9,Sao Paulo,d2cb4fa134053a20c0a53ce0542ca0b4
6789a1de9a37be580653e51fc6458776-L1,2017-01-20 14:43:44,6789a1de9a37be580653e51fc6458776,SKU-9e0abf2fbc,Consoles Games,2,23.0,46.0,Minas Gerais,b4739233753be99a2078cb6588e97c56
bab0a62e41a5f0abc7f04989cdd7a6fd-L1,2017-01-20 20:33:49,bab0a62e41a5f0abc7f04989cdd7a6fd,SKU-f2b525fa6f,Consoles Games,1,195.99,195.99,Piaui,dcb44a6d9e33bca1bd008f7faaf3cd68
81251f18621a822ad5b09593dfee4fc9-L1,2017-01-21 14:17:21,81251f18621a822ad5b09593dfee4fc9,SKU-c4b925e40f,Electronics,1,11.5,11.5,Sao Paulo,f992b70fb02cdfadc277f493997515b7
250d181fa1c603024562b93a8f8d5fe0-L1,2017-01-21 16:30:43,250d181fa1c603024562b93a8f8d5fe0,SKU-1fb368a150,Consoles Games,2,139.99,279.98,Sao Paulo,63299f459ddbe79050c7094da3f69b8f
de05dd73ee1b5a964eaa56f814c49851-L1,2017-01-21 18:17:15,de05dd73ee1b5a964eaa56f814c49851,SKU-462ca84097,Computers Accessories,1,19.9,19.9,Goias,f801278dc42ce9d4773cb91ad0e21ab8
c870c1f3a9ba62194d1060c0accb18dd-L1,2017-01-22 11:15:23,c870c1f3a9ba62194d1060c0accb18dd,SKU-b4f9530c93,Fixed Telephony,1,45.0,45.0,Sao Paulo,4935a78ccb4610047befc89c31602c36
64410a4fbf4904d3f9445bf58e9491b5-L1,2017-01-22 12:21:50,64410a4fbf4904d3f9445bf58e9491b5,SKU-b4f9530c93,Fixed Telephony,1,45.0,45.0,Sao Paulo,0b71af0a1a119b2db8a6c0200b552ebf
7ab9c55c59eaeea579d047e2d8aaed81-L1,2017-01-22 13:04:20,7ab9c55c59eaeea579d047e2d8aaed81,SKU-c4b925e40f,Electronics,1,11.5,11.5,Sao Paulo,4182d20f129b3679e6808317f1e95567
319ccdc182a8c5d60b228310a6432460-L1,2017-01-22 16:03:50,319ccdc182a8c5d60b228310a6432460,SKU-fb01a5fc09,Consoles Games,1,689.89,689.89,Sao Paulo,d6779a4b34d196a59ad0d562c5333dfb
e9beb67cf376905f8cd308ef0f02071d-L1,2017-01-23 01:22:51,e9beb67cf376905f8cd308ef0f02071d,SKU-30001d6521,Computers Accessories,1,20.9,20.9,Sao Paulo,b8d76f06a0601ac8fe3fa52e6fe8742a
b626a11507dbce56f74a5b1b1a6af615-L1,2017-01-23 22:29:40,b626a11507dbce56f74a5b1b1a6af615,SKU-aeeed2c170,Computers Accessories,1,26.99,26.99,Sao Paulo,83f7b04d3399b939076a8cc0572b4000
2f371d97b4ea52be4c04ef49bb4f31ff-L1,2017-01-23 22:55:07,2f371d97b4ea52be4c04ef49bb4f31ff,SKU-8abc2d73b5,Consoles Games,1,329.9,329.9,Sao Paulo,f65b9cde425984c1041a2b0b1b4f99ad
ae25aaffc9b89e8519bb9b5aa59cc8ef-L1,2017-01-24 12:18:07,ae25aaffc9b89e8519bb9b5aa59cc8ef,SKU-1fb368a150,Consoles Games,1,139.99,139.99,Minas Gerais,a5915d92773335107130a2d1e0c5a91e
b42efbd88abf3882f91928b08cf74d6f-L1,2017-01-24 17:11:53,b42efbd88abf3882f91928b08cf74d6f,SKU-1789a1b00c,Computers Accessories,1,99.0,99.0,Rio de Janeiro,6ec09595e0817c04ed4844f143251a69
5582d9b46edf97ccc2f3b993c39ace3e-L1,2017-01-25 11:58:33,5582d9b46edf97ccc2f3b993c39ace3e,SKU-9319e2f1f2,Telephony,1,22.99,22.99,Sao Paulo,12b3f3ecec72ac5252b5bbc137ca3c59
bec25025b8d0b7db00c510720053761e-L1,2017-01-25 12:21:10,bec25025b8d0b7db00c510720053761e,SKU-01586bfbe1,Fixed Telephony,1,12.97,12.97,Sao Paulo,cd363e5f88337f6d8b9b7a8510dc1752
9e1b7a7d17aa42da16ee605b5fee2e0a-L1,2017-01-25 13:15:38,9e1b7a7d17aa42da16ee605b5fee2e0a,SKU-5bfcd193eb,Consoles Games,1,223.9,223.9,Sao Paulo,c80bc315b52899a6cfc2af82c9200962
2a3d1cc4337b1cc9157560f6b1ca5802-L1,2017-01-25 17:52:31,2a3d1cc4337b1cc9157560f6b1ca5802,SKU-30001d6521,Computers Accessories,1,20.9,20.9,Rio Grande do Sul,e7fde3366ddfd6dd15e59e5676f33100
0c5d85fbd4b20a1d9d5fc6a29e739f36-L1,2017-01-25 18:04:52,0c5d85fbd4b20a1d9d5fc6a29e739f36,SKU-9d374944ce,Computers Accessories,1,30.0,30.0,Bahia,e752cbd4b0fd0f52ceec3b4cf56cc34b
7c28cd51bc7b7b5b8e81ae0bb7f17340-L1,2017-01-25 18:55:31,7c28cd51bc7b7b5b8e81ae0bb7f17340,SKU-5a4ec7366f,Computers Accessories,1,16.9,16.9,Minas Gerais,90cdf84ae810487178762867e5b09fd3
a2db088616f079ceb7a0e856f8a741ca-L1,2017-01-25 22:19:19,a2db088616f079ceb7a0e856f8a741ca,SKU-8015f5d7a8,Telephony,1,19.9,19.9,Sao Paulo,f78a1d6281b3b4a1542c00bd1d8b503a
0c3a7b14aa5e70ef5991122f6bb552de-L1,2017-01-26 10:44:38,0c3a7b14aa5e70ef5991122f6bb552de,SKU-f07ef9dd6e,Fixed Telephony,1,137.99,137.99,Rio Grande do Sul,ed8d3a85dcebf694f8dde843f3cef35a
38e2829123a2bd1cbe111564824d0abb-L1,2017-01-26 11:14:58,38e2829123a2bd1cbe111564824d0abb,SKU-5bfcd193eb,Consoles Games,1,223.9,223.9,Santa Catarina,e021e698833bdeb89dfef3acb2e91f37
b4a600b2f7cc0efe40a086465eca8799-L1,2017-01-26 13:32:04,b4a600b2f7cc0efe40a086465eca8799,SKU-fb01a5fc09,Consoles Games,1,689.89,689.89,Sao Paulo,b77d9287064d0c8130947b0c84166a76
46e61fd85afa09032021c9b0b507b693-L1,2017-01-26 14:41:39,46e61fd85afa09032021c9b0b507b693,SKU-b1ffef38f0,Telephony,1,13.0,13.0,Sao Paulo,bb07648db5b0a3cd55ca6a116f011fc4
67d0c933fefa1c4ff65e800b8c8bf804-L1,2017-01-26 18:04:03,67d0c933fefa1c4ff65e800b8c8bf804,SKU-b1ffef38f0,Telephony,2,13.0,26.0,Rio de Janeiro,9ad1506972e27cf782ac75246c5ee76e
65fd2f07bc74b8df1728cc3ee9e19ebb-L1,2017-01-26 18:19:41,65fd2f07bc74b8df1728cc3ee9e19ebb,SKU-5bfcd193eb,Consoles Games,1,223.9,223.9,Sao Paulo,13cdb9d2530b1193e81f0c447924d2f0
c6be81e3c1e9e15e5893e19d7ce49647-L1,2017-01-26 20:15:14,c6be81e3c1e9e15e5893e19d7ce49647,SKU-88d524b8b5,Computers Accessories,1,48.9,48.9,Sao Paulo,6879d467c6969cf149a17b5813535837
64ba433f9d86e1df4e9cb86b1a3884d1-L1,2017-01-26 21:11:42,64ba433f9d86e1df4e9cb86b1a3884d1,SKU-913580fde3,Fixed Telephony,2,10.99,21.98,Rio Grande do Sul,09afae2d61d41a7f90d30c3ce36c5f26
3440f090efa1949bc4e9ebd0b89b2b6c-L1,2017-01-27 00:34:10,3440f090efa1949bc4e9ebd0b89b2b6c,SKU-0c3256090b,Consoles Games,1,39.9,39.9,Para,93027a697145bb67a134f56e9a3f0d9a
1c47e7875c7c3bd3399467e179c5c3bf-L1,2017-01-27 01:24:22,1c47e7875c7c3bd3399467e179c5c3bf,SKU-5bfcd193eb,Consoles Games,1,223.9,223.9,Sao Paulo,fec0f9b88ab21b6b9bd1961500e83665
38eb881851d90ec36b46d10b81792089-L1,2017-01-27 09:29:40,38eb881851d90ec36b46d10b81792089,SKU-aad225c687,Computers Accessories,2,18.9,37.8,Sao Paulo,ea7db74b1a04a7a1bbfab5c7d67f3f25
3c6f2c25e0bc1279d17395ec365ea14c-L1,2017-01-27 10:52:15,3c6f2c25e0bc1279d17395ec365ea14c,SKU-51b0fbc000,Computers Accessories,1,49.99,49.99,Sao Paulo,85f577ceedf143eb1f3248c42e7c52f3
89484162f10c48a5cbccb77221419395-L1,2017-01-27 11:34:09,89484162f10c48a5cbccb77221419395,SKU-5bfcd193eb,Consoles Games,1,223.9,223.9,Minas Gerais,351a33d3fc09554e07f3384309e31bd1
b8a4cbf978ddb7ef0264c480a122329f-L1,2017-01-27 11:36:22,b8a4cbf978ddb7ef0264c480a122329f,SKU-1d828db422,Fixed Telephony,1,6.99,6.99,Sao Paulo,04544a89f79714c0abcc3ae49e884209
2bcf5ca88957e31faab027f2325cfd63-L1,2017-01-27 12:29:31,2bcf5ca88957e31faab027f2325cfd63,SKU-8c5876b1c7,Telephony,1,49.0,49.0,Sao Paulo,d2e20ff389a9279d9dd515f5cf857e76
08e617c0a81895c4d5f6ab1e4a20fad0-L1,2017-01-27 14:01:20,08e617c0a81895c4d5f6ab1e4a20fad0,SKU-29d2735be0,Computers Accessories,4,29.99,119.96,Sao Paulo,15bc17a24fe18da7be93a48546fcadab
e6ba7ef3fa398a176291132b06cd519e-L1,2017-01-27 16:21:48,e6ba7ef3fa398a176291132b06cd519e,SKU-acac295886,Computers Accessories,1,1999.0,1999.0,Rio Grande do Sul,7c82b91749355c6daebaada73da54e2e
c7da1b57f7d2251252370bc7d94168fe-L1,2017-01-27 21:27:17,c7da1b57f7d2251252370bc7d94168fe,SKU-f457c5f0c7,Computers Accessories,1,18.0,18.0,Maranhao,7459c5e40af6c3ba3c1cf02eb107a2e7
1df257323bb550a9b9bb150345c42e45-L1,2017-01-28 16:10:01,1df257323bb550a9b9bb150345c42e45,SKU-d2686065b8,Telephony,1,18.99,18.99,Mato Grosso,86d9e56cfb6bb093863537fddea0efb4
e3e80c87ef38162cf2d0fb01c481f5df-L1,2017-01-28 17:05:59,e3e80c87ef38162cf2d0fb01c481f5df,SKU-8ce0b48cdc,Telephony,1,131.99,131.99,Rio de Janeiro,706d8bed4a8fad874e8090a15b498212
765e82006189100419015233bf26be8a-L1,2017-01-28 19:50:15,765e82006189100419015233bf26be8a,SKU-010a3a47c1,Telephony,1,9.99,9.99,Rio Grande do Sul,976a39626eb2337ee3258d4ad73f1543
c383ab7c64e3ee1503e3574b22e37dab-L1,2017-01-28 23:09:31,c383ab7c64e3ee1503e3574b22e37dab,SKU-591afedd45,Electronics,1,59.9,59.9,Pernambuco,dbd646e11d140ae5452828dd2eb2c6e9
b34d8ec665f905d3c7583b291f54b605-L1,2017-01-29 13:34:56,b34d8ec665f905d3c7583b291f54b605,SKU-9dbf7eb522,Computers Accessories,1,26.9,26.9,Parana,568877b6b81f66898aaeff1e2d66ba5a
4d7a365119241cbd17c7afb5b39bb9a0-L1,2017-01-29 20:53:13,4d7a365119241cbd17c7afb5b39bb9a0,SKU-1eb85357e2,Consoles Games,1,309.9,309.9,Parana,6bf33cbc32d6feef3072bf6a6ff13769
9224db86cedf958891e1b1afb4ad570c-L1,2017-01-30 10:12:59,9224db86cedf958891e1b1afb4ad570c,SKU-410d5b211d,Telephony,1,18.99,18.99,Minas Gerais,de907ee6190d3fd70be7e607a3ddbbf7
9224db86cedf958891e1b1afb4ad570c-L2,2017-01-30 10:12:59,9224db86cedf958891e1b1afb4ad570c,SKU-207bb2d818,Telephony,1,19.9,19.9,Minas Gerais,de907ee6190d3fd70be7e607a3ddbbf7
11db6666e1dbeee776c8e15fd0792c4b-L1,2017-01-30 11:17:55,11db6666e1dbeee776c8e15fd0792c4b,SKU-964011954f,Telephony,1,18.99,18.99,Minas Gerais,bcfdca13b3b657eeccd2528bd38d0425
11db6666e1dbeee776c8e15fd0792c4b-L2,2017-01-30 11:17:55,11db6666e1dbeee776c8e15fd0792c4b,SKU-410d5b211d,Telephony,1,18.99,18.99,Minas Gerais,bcfdca13b3b657eeccd2528bd38d0425
